no	effector	l1	l2	p.value
"235"	"hopB"	-58.450129	-57.273911	2.352436	0.67123935470262
"236"	"hopC"	-57.268023	-55.130798	4.27445	0.370135416861106
"237"	"hopD"	-72.281583	-69.563082	5.437002	0.245322803609318
"238"	"hopE"	-63.300446	-62.992247	0.616398	0.961224181458054
"239"	"hopF"	-78.609322	-74.585759	8.047126	0.0898670828860606
"240"	"hopG"	-67.677583	-65.549729	4.255708	0.37250424189191
"241"	"hopH"	-90.624016	-83.100074	15.047884	0.00460292600296487
"242"	"hopI"	-46.891243	-46.26544	1.251606	0.869531122363402
"243"	"hopK"	-39.664812	-39.431089	0.467446	0.976591752044469
"244"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"245"	"hopN"	-51.850712	-51.206209	1.289006	0.863238047195251
"246"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"247"	"hopQ"	-71.010277	-68.279564	5.461426	0.24314103044357
"248"	"hopR"	-71.972372	-69.099004	5.746736	0.218877386008292
"249"	"hopS"	-42.011965	-41.853865	0.3162	0.988744553098501
"250"	"hopT"	-62.52055	-60.385898	4.269304	0.370784652323161
"251"	"hopU"	-41.658934	-41.038985	1.239898	0.871486998440626
"252"	"hopV"	-58.191609	-54.773307	6.836604	0.144779042935169
"253"	"hopW"	-71.067845	-68.707644	4.720402	0.317207163356431
"254"	"hopX"	-105.17302	-104.577066	1.191908	0.879429107559872
"255"	"hopY"	-37.717438	-37.606398	0.22208	0.994272975895646
"256"	"hopZ"	-96.858463	-93.732223	6.25248	0.181069667342827
"257"	"avrA"	-54.343394	-51.651309	5.38417	0.25010019513461
"258"	"avrB"	-91.525608	-87.170271	8.710674	0.0687524184059031
"259"	"avrD1"	-82.054192	-78.005557	8.09727	0.0880793566914361
"260"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"261"	"avrPto"	-86.887975	-81.603247	10.569456	0.0318535820659364
"262"	"avrRpm"	-80.74256	-78.981171	3.522778	0.474423362547444
"263"	"avrRps4"	-76.409386	-73.466793	5.885186	0.207888298218005
"264"	"avrRpt2"	-50.977588	-50.369501	1.216174	0.87542856301379
"265"	"hopA1"	-91.697977	-90.265393	2.865168	0.580636749803113
"266"	"hopAA"	-76.032166	-74.087887	3.888558	0.421297925269121
"267"	"hopAB"	-86.238309	-78.540326	15.395966	0.00394663547981798
"268"	"hopAD"	-39.664812	-39.434084	0.461456	0.977143132343418
"269"	"hopAE"	-79.711518	-76.377996	6.667044	0.154564871008125
"270"	"hopAF"	-104.844268	-99.369976	10.948584	0.0271479771446088
"271"	"hopAG"	-66.818747	-64.580188	4.477118	0.3452693222769
"272"	"hopAH"	-55.769689	-53.873741	3.791896	0.434901599538918
"273"	"hopAI"	-60.369009	-58.108219	4.52158	0.339996313971659
"274"	"hopAL"	-53.692517	-51.373891	4.637252	0.326581691412132
"275"	"hopAM"	-52.902758	-51.803398	2.19872	0.699263623812997
"276"	"hopAO"	-69.468744	-66.737947	5.461594	0.243126081510561
"277"	"hopAQ"	-39.664812	-39.438513	0.452598	0.977948460045819
"278"	"hopAR"	-72.990154	-66.985393	12.009522	0.0172805974892488
"279"	"hopAS"	-56.806437	-54.828942	3.95499	0.412131561319212
"280"	"hopAT"	-77.775445	-75.719072	4.112746	0.390962324205555
"281"	"hopAU"	-50.368031	-49.508319	1.719424	0.787186279436727
"282"	"hopAV"	-67.008293	-64.477912	5.060762	0.281119564735395
"283"	"hopAW"	-57.535763	-55.957462	3.156602	0.531968849395607
"284"	"hopAX"	-48.062667	-46.286915	3.551504	0.470090382994721
"285"	"hopAY"	-99.399526	-96.50069	5.797672	0.21477636543783
"286"	"hopAZ"	-97.305653	-96.21888	2.173546	0.70387524566605
"287"	"hopBA"	-56.758852	-55.319161	2.879382	0.57820915953609
"288"	"hopBB"	-76.42517	-71.536876	9.776588	0.0443639672365269
"289"	"hopBC"	-55.903204	-54.451971	2.902466	0.574277909618799
"290"	"hopBD"	-75.964314	-72.720409	6.48781	0.165560074180817
"291"	"hopBE"	-48.5604	-46.065196	4.990408	0.288283111136558
"292"	"hopBF"	-84.05626	-69.120871	29.870778	5.20002751650018e-06
"293"	"hopBG"	-39.624522	-39.152901	0.943242	0.918276729371204
"294"	"hopBH"	-43.955988	-43.304346	1.303284	0.860818106401596
"295"	"hopBI"	-55.395777	-54.077951	2.635652	0.62052069509145
"296"	"hopBJ"	-35.009482	-34.964616	0.089732	0.999023124982942
"297"	"hopBK"	-49.271546	-48.631009	1.281074	0.864578328218946
"298"	"hopBL"	-56.57954	-54.593927	3.971226	0.409913993145539
"299"	"hopB"	-58.450129	-57.287399	2.32546	0.676137590470932
"300"	"hopC"	-57.268023	-55.123149	4.289748	0.368210617546188
"301"	"hopD"	-72.281583	-69.542985	5.477196	0.241741253518744
"302"	"hopE"	-63.300446	-62.992235	0.616422	0.961221463960291
"303"	"hopF"	-78.609322	-74.585762	8.04712	0.0898672988202157
"304"	"hopG"	-67.677583	-63.725123	7.90492	0.0951238476274687
"305"	"hopH"	-90.624016	-83.100075	15.047882	0.00460293006589295
"306"	"hopI"	-47.078015	-46.266961	1.622108	0.804813259892331
"307"	"hopK"	-39.664812	-39.430616	0.468392	0.976504174155014
"308"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"309"	"hopN"	-51.850712	-51.206194	1.289036	0.863232972454013
"310"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"311"	"hopQ"	-71.010277	-68.398227	5.2241	0.265066505112085
"312"	"hopR"	-71.972372	-69.147778	5.649188	0.226923645357884
"313"	"hopS"	-42.011965	-41.853707	0.316516	0.98872321726368
"314"	"hopT"	-62.52055	-60.386422	4.268256	0.370916980175969
"315"	"hopU"	-41.658934	-41.020229	1.27741	0.86519643596107
"316"	"hopV"	-58.191609	-54.782973	6.817272	0.145865450305195
"317"	"hopW"	-71.067845	-68.806183	4.523324	0.339790808929099
"318"	"hopX"	-105.17302	-104.577066	1.191908	0.879429107559872
"319"	"hopY"	-37.655719	-37.597197	0.117044	0.998352953377758
"320"	"hopZ"	-96.858463	-93.729971	6.256984	0.180760958313021
"321"	"avrA"	-54.343394	-51.617063	5.452662	0.24392197082008
"322"	"avrB"	-91.525608	-87.148983	8.75325	0.0675718268014019
"323"	"avrD1"	-82.054192	-78.005558	8.097268	0.088079427324647
"324"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"325"	"avrPto"	-86.887975	-81.411494	10.952962	0.0270977740539823
"326"	"avrRpm"	-80.74256	-78.979189	3.526742	0.473823832040131
"327"	"avrRps4"	-76.409386	-73.466792	5.885188	0.207888143058583
"328"	"avrRpt2"	-50.977588	-50.36992	1.215336	0.875567248891835
"329"	"hopA1"	-91.697977	-90.265388	2.865178	0.580635040077386
"330"	"hopAA"	-76.032166	-74.087888	3.888556	0.42129820347676
"331"	"hopAB"	-86.238309	-78.552255	15.372108	0.00398851918316427
"332"	"hopAD"	-39.664812	-39.429523	0.470578	0.976301282421654
"333"	"hopAE"	-79.711518	-76.377823	6.66739	0.154544302967484
"334"	"hopAF"	-100.815911	-101.587433	-1.543044	1
"335"	"hopAG"	-66.818747	-64.585991	4.465512	0.346656474716609
"336"	"hopAH"	-55.769689	-53.97723	3.584918	0.465084378679395
"337"	"hopAI"	-60.369009	-58.147035	4.443948	0.349245633021107
"338"	"hopAL"	-53.692517	-51.705715	3.973604	0.409589946511447
